109,DENIS-P J082303.1-491201 b,68,9034.5,18.558,2013,Gas Giant,11.872,0.36 AU,246.4,0.35,DENIS-P J082303.1-491201,Astrometry,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,,629.4295639
110,DH Tauri b,457,3487,12.496,2004,Gas Giant,30.24,330.0 AU,3811147.5,0,DH Tau,Imaging,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27,37.44373517
111,DMPP-1 b,202,24.27,7.981,2019,Neptune-like,5.2864,0.1462 AU,18.6,< 0.083,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26,8.52786909
112,DMPP-1 c,202,9.6,7.981,2019,Neptune-like,3.0576,0.0733 AU,6.6,< 0.057,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26,10.08325348
113,DMPP-1 d,202,3.35,7.981,2019,Super Earth,1.65,0.0422,2.9,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26,12.08280342
114,DMPP-1 e,202,4.13,7.981,2019,Super Earth,1.86,0.0651,5.5,< 0.07,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196,1.21,1.26,11.72235729
115,DMPP-2 b,437,138.529,8.567,2019,Gas Giant,14.336,0.0664 AU,5.2,0.08,DMPP-2,Radial Velocity,,,01h49m37.89s,-34d27m32.9s,6500,1.44,1.78,6.618742811
116,DMPP-3 A b,160,2.58,9.066,2019,Super Earth,1.41,0.0662,6.7,0.14,DMPP-3 A,Radial Velocity,,,06h06m29.85s,-72d30m45.6s,5138,0.87,0.91,12.74301728
117,DP Leonis b,995,1990.76,18.633,2009,Gas Giant,12.768,8.19 AU,10220,0.39,DP Leo,Eclipse Timing Variations,,,11h17m16.00s,+17d57m41.1s,13500,,0.01,119.9123596
118,DS Tucanae A b,144,412.1,8.469,2019,Neptune-like,5.7008,Unknown,8.1,0,DS Tuc A,Transit,89.5,,23h39m39.48s,-69d11m44.7s,5428,1.01,0.96,124.5150352
119,EPIC 201238110 b,522,4.16,15.261,2019,Super Earth,1.87,Unknown,28.2,0,EPIC 201238110,Transit,,,11h58m49.42s,-03d23m21.8s,,0.41,,11.68156174
120,EPIC 201497682 b,831,0.26,14.102,2019,Terrestrial,0.692,Unknown,2.1,0,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,,5.331531141
121,EPIC 201615463 c,1569,1.98,12.074,2019,Super Earth,1.22,Unknown,3.8,0,K2-166,Transit,,,12h20m45.19s,+02d16m56.8s,,1.07,,13.06280128
122,EPIC 201754305 d,1103,1.08,14.67,2019,Super Earth,1.03,Unknown,2.7,0,K2-16,Transit,,,11h40m23.34s,+04d33m26.4s,,0.67,,9.996318782
123,EPIC 201833600 c,846,0.972,14.717,2019,Terrestrial,1,Unknown,4,0,K2-50,Transit,,,11h17m56.07s,+05d59m18.2s,,0.61,,9.544585136
